t,y_numerical,y_analytical,error
1.7000000000,0.5236042188,0.5227519201,0.0008522987
1.7050000000,0.5203419753,0.5194896970,0.0008522783
1.7100000000,0.5170712595,0.5162190309,0.0008522285
1.7150000000,0.5137921305,0.5129399811,0.0008521494
1.7200000000,0.5105046478,0.5096526068,0.0008520409
1.7250000000,0.5072088710,0.5063569680,0.0008519031
1.7300000000,0.5039048603,0.5030531245,0.0008517358
1.7350000000,0.5005926760,0.4997411369,0.0008515391
1.7400000000,0.4972723788,0.4964210658,0.0008513130
1.7450000000,0.4939440297,0.4930929721,0.0008510575
1.7500000000,0.4906076899,0.4897569173,0.0008507726
1.7550000000,0.4872634212,0.4864129630,0.0008504582
1.7600000000,0.4839112854,0.4830611710,0.0008501144
1.7650000000,0.4805513448,0.4797016037,0.0008497411
1.7700000000,0.4771836619,0.4763343235,0.0008493384
1.7750000000,0.4738082995,0.4729593933,0.0008489062
1.7800000000,0.4704253208,0.4695768762,0.0008484445
1.7850000000,0.4670347892,0.4661868357,0.0008479534
1.7900000000,0.4636367684,0.4627893355,0.0008474329
1.7950000000,0.4602313224,0.4593844395,0.0008468829
1.8000000000,0.4568185156,0.4559722122,0.0008463034
1.8050000000,0.4533984126,0.4525527181,0.0008456945
1.8100000000,0.4499710782,0.4491260220,0.0008450562
1.8150000000,0.4465365775,0.4456921891,0.0008443884
1.8200000000,0.4430949761,0.4422512849,0.0008436912
1.8250000000,0.4396463397,0.4388033751,0.0008429646
1.8300000000,0.4361907342,0.4353485257,0.0008422085
1.8350000000,0.4327282260,0.4318868029,0.0008414231
1.8400000000,0.4292588816,0.4284182733,0.0008406083
1.8450000000,0.4257827678,0.4249430037,0.0008397641
1.8500000000,0.4222999518,0.4214610612,0.0008388905
1.8550000000,0.4188105008,0.4179725132,0.0008379876
1.8600000000,0.4153144825,0.4144774271,0.0008370554
1.8650000000,0.4118119648,0.4109758710,0.0008360938
1.8700000000,0.4083030158,0.4074679128,0.0008351029
1.8750000000,0.4047877039,0.4039536211,0.0008340828
1.8800000000,0.4012660979,0.4004330645,0.0008330334
1.8850000000,0.3977382665,0.3969063118,0.0008319548
1.8900000000,0.3942042791,0.3933734322,0.0008308469
1.8950000000,0.3906642049,0.3898344950,0.0008297098
1.9000000000,0.3871181136,0.3862895700,0.0008285436
1.9050000000,0.3835660752,0.3827387270,0.0008273482
1.9100000000,0.3800081598,0.3791820361,0.0008261237
1.9150000000,0.3764444378,0.3756195677,0.0008248701
1.9200000000,0.3728749798,0.3720513923,0.0008235874
1.9250000000,0.3692998566,0.3684775809,0.0008222757
1.9300000000,0.3657191394,0.3648982044,0.0008209350
1.9350000000,0.3621328995,0.3613133342,0.0008195653
1.9400000000,0.3585412084,0.3577230418,0.0008181666
1.9450000000,0.3549441380,0.3541273990,0.0008167390
1.9500000000,0.3513417602,0.3505264776,0.0008152826
1.9550000000,0.3477341472,0.3469203500,0.0008137972
1.9600000000,0.3441213716,0.3433090885,0.0008122831
1.9650000000,0.3405035059,0.3396927657,0.0008107402
1.9700000000,0.3368806231,0.3360714545,0.0008091685
1.9750000000,0.3332527962,0.3324452280,0.0008075682
1.9800000000,0.3296200986,0.3288141594,0.0008059392
1.9850000000,0.3259826037,0.3251783222,0.0008042815
1.9900000000,0.3223403853,0.3215377901,0.0008025953
1.9950000000,0.3186935174,0.3178926369,0.0008008805
2.0000000000,0.3150420739,0.3142429368,0.0007991372
2.0050000000,0.3113861294,0.3105887640,0.0007973654
2.0100000000,0.3077257582,0.3069301929,0.0007955653
2.0150000000,0.3040610352,0.3032672984,0.0007937367
2.0200000000,0.3003920351,0.2996001552,0.0007918799
2.0250000000,0.2967188332,0.2959288385,0.0007899948
2.0300000000,0.2930415047,0.2922534233,0.0007880814
2.0350000000,0.2893601251,0.2885739852,0.0007861399
2.0400000000,0.2856747701,0.2848905998,0.0007841702
2.0450000000,0.2819855154,0.2812033429,0.0007821725
2.0500000000,0.2782924372,0.2775122904,0.0007801468
2.0550000000,0.2745956115,0.2738175185,0.0007780930
2.0600000000,0.2708951149,0.2701191035,0.0007760114
2.0650000000,0.2671910237,0.2664171219,0.0007739019
2.0700000000,0.2634834148,0.2627116503,0.0007717645
2.0750000000,0.2597723650,0.2590027656,0.0007695995
2.0800000000,0.2560579514,0.2552905447,0.0007674067
2.0850000000,0.2523402511,0.2515750648,0.0007651863
2.0900000000,0.2486193416,0.2478564033,0.0007629383
2.0950000000,0.2448953003,0.2441346375,0.0007606628
2.1000000000,0.2411682050,0.2404098452,0.0007583598
2.1050000000,0.2374381334,0.2366821040,0.0007560295
2.1100000000,0.2337051637,0.2329514919,0.0007536718
2.1150000000,0.2299693738,0.2292180870,0.0007512868
2.1200000000,0.2262308421,0.2254819675,0.0007488746
2.1250000000,0.2224896470,0.2217432117,0.0007464353
2.1300000000,0.2187458671,0.2180018982,0.0007439689
2.1350000000,0.2149995811,0.2142581056,0.0007414755
2.1400000000,0.2112508678,0.2105119126,0.0007389551
2.1450000000,0.2074998062,0.2067633983,0.0007364079
2.1500000000,0.2037464754,0.2030126415,0.0007338339
2.1550000000,0.1999909547,0.1992597216,0.0007312331
2.1600000000,0.1962333234,0.1955047178,0.0007286057
2.1650000000,0.1924736611,0.1917477095,0.0007259516
2.1700000000,0.1887120473,0.1879887762,0.0007232711
2.1750000000,0.1849485618,0.1842279977,0.0007205641
2.1800000000,0.1811832844,0.1804654537,0.0007178307
2.1850000000,0.1774162951,0.1767012241,0.0007150710
2.1900000000,0.1736476740,0.1729353889,0.0007122851
2.1950000000,0.1698775013,0.1691680283,0.0007094730
2.2000000000,0.1661058573,0.1653992225,0.0007066349
2.2050000000,0.1623328225,0.1616290517,0.0007037708
2.2100000000,0.1585584772,0.1578575965,0.0007008807
2.2150000000,0.1547829022,0.1540849374,0.0006979648
2.2200000000,0.1510061782,0.1503111550,0.0006950232
2.2250000000,0.1472283860,0.1465363301,0.0006920559
2.2300000000,0.1434496064,0.1427605434,0.0006890630
2.2350000000,0.1396699205,0.1389838760,0.0006860446
2.2400000000,0.1358894095,0.1352064087,0.0006830007
2.2450000000,0.1321081544,0.1314282228,0.0006799316
2.2500000000,0.1283262365,0.1276493994,0.0006768371
2.2550000000,0.1245437372,0.1238700197,0.0006737175
2.2600000000,0.1207607379,0.1200901651,0.0006705728
2.2650000000,0.1169773201,0.1163099170,0.0006674031
2.2700000000,0.1131935655,0.1125293569,0.0006642085
2.2750000000,0.1094095555,0.1087485665,0.0006609891
2.2800000000,0.1056253721,0.1049676272,0.0006577449
2.2850000000,0.1018410969,0.1011866208,0.0006544761
2.2900000000,0.0980568119,0.0974056292,0.0006511827
2.2950000000,0.0942725990,0.0936247340,0.0006478649
2.3000000000,0.0904885400,0.0898440173,0.0006445227
2.3050000000,0.0867047172,0.0860635610,0.0006411563
2.3100000000,0.0829212126,0.0822834470,0.0006377656
2.3150000000,0.0791381084,0.0785037575,0.0006343509
2.3200000000,0.0753554867,0.0747245746,0.0006309122
2.3250000000,0.0715734299,0.0709459804,0.0006274495
2.3300000000,0.0677920202,0.0671680571,0.0006239631
2.3350000000,0.0640113400,0.0633908870,0.0006204530
2.3400000000,0.0602314717,0.0596145524,0.0006169193
2.3450000000,0.0564524977,0.0558391357,0.0006133620
2.3500000000,0.0526745005,0.0520647191,0.0006097814
2.3550000000,0.0488975626,0.0482913852,0.0006061774
2.3600000000,0.0451217666,0.0445192163,0.0006025503
2.3650000000,0.0413471950,0.0407482950,0.0005989000
2.3700000000,0.0375739304,0.0369787036,0.0005952267
2.3750000000,0.0338020554,0.0332105249,0.0005915306
2.3800000000,0.0300316528,0.0294438412,0.0005878116
2.3850000000,0.0262628051,0.0256787352,0.0005840700
2.3900000000,0.0224955951,0.0219152894,0.0005803057
2.3950000000,0.0187301055,0.0181535866,0.0005765190
2.4000000000,0.0149664190,0.0143937091,0.0005727099
2.4050000000,0.0112046184,0.0106357399,0.0005688785
2.4100000000,0.0074447863,0.0068797613,0.0005650250
2.4150000000,0.0036870055,0.0031258561,0.0005611494
2.4200000000,-0.0000686412,-0.0006258930,0.0005572518
2.4250000000,-0.0038220710,-0.0043754034,0.0005533325
2.4300000000,-0.0075732012,-0.0081225925,0.0005493913
2.4350000000,-0.0113219490,-0.0118673777,0.0005454286
2.4400000000,-0.0150682317,-0.0156096761,0.0005414444
2.4450000000,-0.0188119666,-0.0193494054,0.0005374388
2.4500000000,-0.0225530708,-0.0230864827,0.0005334119
2.4550000000,-0.0262914618,-0.0268208255,0.0005293638
2.4600000000,-0.0300270566,-0.0305523513,0.0005252946
2.4650000000,-0.0337597728,-0.0342809773,0.0005212046
2.4700000000,-0.0374895275,-0.0380066212,0.0005170937
2.4750000000,-0.0412162381,-0.0417292002,0.0005129621
